File Name,MPR Count,Diameter Found,Gene Node Count,DP Computation Time,Diameter Computation Time,Date
TreeLifeData/COG1052.newick,31923978240.0,157,259,820.889185,4.7995800000026065,Sat Jun 24 01:21:14 2017
TreeLifeData/COG1053.newick,8.0,12,29,0.7814570000009553,4.7876109999997425,Sat Jun 24 01:21:19 2017
TreeLifeData/COG1054.newick,1624.0,79,101,12.64520800000173,4.841087999997399,Sat Jun 24 01:21:37 2017
TreeLifeData/COG1055.newick,648000.0,73,131,17.221927999999025,4.813286000000517,Sat Jun 24 01:21:59 2017
TreeLifeData/COG1056.newick,84.0,27,47,2.0563099999999395,4.777257000001555,Sat Jun 24 01:22:06 2017
TreeLifeData/COG1057.newick,26880.0,67,121,15.951160000000527,4.823589999999967,Sat Jun 24 01:22:27 2017
TreeLifeData/COG1058.newick,9984.0,51,119,13.177586000001611,4.816721999999572,Sat Jun 24 01:22:45 2017
TreeLifeData/COG1059.newick,3.0,8,13,0.15572299999985262,4.834796999999526,Sat Jun 24 01:22:50 2017
TreeLifeData/COG1060.newick,12096.0,58,161,29.241871999998693,4.765881999999692,Sat Jun 24 01:23:24 2017
TreeLifeData/COG1061.newick,24.0,16,31,1.138902999999118,5.006850999998278,Sat Jun 24 01:23:30 2017
TreeLifeData/COG1062.newick,1664.0,50,177,35.123883000000205,4.895443000001251,Sat Jun 24 01:24:10 2017
TreeLifeData/COG1063.newick,6.711678391969382e+18,233,445,499.3201289999997,4.8734479999984615,Sat Jun 24 01:32:36 2017
TreeLifeData/COG1064.newick,552960.0,94,215,69.90906199999881,4.844285999999556,Sat Jun 24 01:33:51 2017
TreeLifeData/COG1066.newick,32.0,23,133,15.803620999999112,4.852782999998453,Sat Jun 24 01:34:12 2017
TreeLifeData/COG1067.newick,1536.0,31,59,3.5061820000009902,4.799402000000555,Sat Jun 24 01:34:20 2017
TreeLifeData/COG1069.newick,96.0,20,43,2.110712000001513,4.774169999996957,Sat Jun 24 01:34:27 2017
TreeLifeData/COG1070.newick,86065920.0,110,205,2184.5861780000014,4.737783000000491,Sat Jun 24 02:11:03 2017
TreeLifeData/COG1071.newick,21233664.0,89,225,63.497848999999405,4.818364999999176,Sat Jun 24 02:12:11 2017
TreeLifeData/COG1072.newick,12.0,14,47,2.0154570000013337,4.792215000001306,Sat Jun 24 02:12:18 2017
