File Name,# of MPRs,# of medians by first method,# of medians by second method
./TreeLifeData/COG0125.newick,24576,256,64
./TreeLifeData/COG0126.newick,6082560,256,256
./TreeLifeData/COG0127.newick,102943948800,64,128
./TreeLifeData/COG0128.newick,1835008,32768,768
./TreeLifeData/COG0129.newick,147291605041152,16384,2048
./TreeLifeData/COG0130.newick,66908160,512,16
./TreeLifeData/COG0131.newick,38776320,128,32
./TreeLifeData/COG0132.newick,42393600,32,8
./TreeLifeData/COG0133.newick,7127040,256,256
./TreeLifeData/COG0134.newick,2654208,2048,1024
./TreeLifeData/COG0135.newick,6553600,512,1024
./TreeLifeData/COG0136.newick,73870848,1024,64
./TreeLifeData/COG0137.newick,18247680,512,128
./TreeLifeData/COG0138.newick,8886528,8,2
./TreeLifeData/COG0139.newick,4128768,1536,384
./TreeLifeData/COG0140.newick,306432,128,48
./TreeLifeData/COG0141.newick,862617600,512,48
./TreeLifeData/COG0142.newick,34998098793490022400,3145728,2048
./TreeLifeData/COG0143.newick,7962624,256,128
./TreeLifeData/COG0144.newick,3162494730240,2048,128
./TreeLifeData/COG0145.newick,921600,1024,256
./TreeLifeData/COG0146.newick,53568,48,4
./TreeLifeData/COG0147.newick,216473976963072,512,256
./TreeLifeData/COG0148.newick,122757120,128,16
./TreeLifeData/COG0149.newick,2795369398272,256,128
./TreeLifeData/COG0150.newick,990720,1024,128
./TreeLifeData/COG0151.newick,22781952,64,4
./TreeLifeData/COG0152.newick,481075200,512,64
./TreeLifeData/COG0153.newick,256,8,4
./TreeLifeData/COG0154.newick,165182182707764920320,268435456,1048576
./TreeLifeData/COG0155.newick,4644864,256,128
./TreeLifeData/COG0156.newick,190579311038693376,2097152,512
./TreeLifeData/COG0157.newick,415021916160,512,8
./TreeLifeData/COG0158.newick,1632000,24,4
./TreeLifeData/COG0159.newick,25853952,16,64
./TreeLifeData/COG0160.newick,14183091594067968,128,16
./TreeLifeData/COG0161.newick,751480475222016,256,16
./TreeLifeData/COG0162.newick,4735107072,4096,1024
./TreeLifeData/COG0163.newick,78531701760,32,2
./TreeLifeData/COG0164.newick,1963540480,64,4
./TreeLifeData/COG0165.newick,441778176,128,32
./TreeLifeData/COG0166.newick,19498752,128,12
./TreeLifeData/COG0167.newick,345813811200,128,16
./TreeLifeData/COG0168.newick,42701783040,512,64
./TreeLifeData/COG0169.newick,235014193152,256,32
./TreeLifeData/COG0170.newick,1024,128,64
./TreeLifeData/COG0171.newick,26231275782144,2048,256
./TreeLifeData/COG0172.newick,492800,128,128
./TreeLifeData/COG0173.newick,3493888,8,8
./TreeLifeData/COG0174.newick,46893101506560,1024,16
./TreeLifeData/COG0175.newick,50331648,32768,4096
./TreeLifeData/COG0176.newick,1103790080,32,32
./TreeLifeData/COG0177.newick,101627136,16,16
./TreeLifeData/COG0178.newick,167903232,128,96
./TreeLifeData/COG0179.newick,167321272320,32768,4096
./TreeLifeData/COG0180.newick,480181616640,256,128
./TreeLifeData/COG0181.newick,258048,256,64
./TreeLifeData/COG0182.newick,103680,1024,16
./TreeLifeData/COG0183.newick,3952820415719462654553018177945600000,8589934592,3145728
./TreeLifeData/COG0184.newick,47416320,64,128
./TreeLifeData/COG0185.newick,5184757760,1024,32
./TreeLifeData/COG0186.newick,125829120,1024,2048
./TreeLifeData/COG0187.newick,20766720,512,128
./TreeLifeData/COG0188.newick,2341470208,512,64
./TreeLifeData/COG0189.newick,1566720,512,512
./TreeLifeData/COG0190.newick,7775256576,128,4
./TreeLifeData/COG0191.newick,23654400,128,16
./TreeLifeData/COG0192.newick,184320,512,256
./TreeLifeData/COG0193.newick,152248320,32,64
./TreeLifeData/COG0194.newick,297271296,1024,256
./TreeLifeData/COG0195.newick,256000,8,8
./TreeLifeData/COG0196.newick,6144,128,64
./TreeLifeData/COG0197.newick,8460288000,4,4
./TreeLifeData/COG0198.newick,75264,64,16
./TreeLifeData/COG0199.newick,3584,48,16
./TreeLifeData/COG0200.newick,1334592,4,4
./TreeLifeData/COG0201.newick,106002432,32,8
./TreeLifeData/COG0202.newick,46080,64,32
./TreeLifeData/COG0203.newick,921600,32,48
./TreeLifeData/COG0204.newick,421684932157298856469463040,134217728,2097152
./TreeLifeData/COG0205.newick,276960000,8,8
./TreeLifeData/COG0206.newick,311545856,16,16
./TreeLifeData/COG0207.newick,10752,128,64
./TreeLifeData/COG0208.newick,141078205440,64,32
./TreeLifeData/COG0209.newick,290582691840,4096,1024
./TreeLifeData/COG0210.newick,8,4,2
./TreeLifeData/COG0211.newick,19814400,32,8
./TreeLifeData/COG0212.newick,44,4,1
./TreeLifeData/COG0213.newick,82944,128,32
./TreeLifeData/COG0214.newick,768,16,16
./TreeLifeData/COG0215.newick,3125846016,32,16
./TreeLifeData/COG0216.newick,569856,8,8
./TreeLifeData/COG0217.newick,543744,32,4
./TreeLifeData/COG0218.newick,6128640,32,192
./TreeLifeData/COG0219.newick,4965552,16,2
./TreeLifeData/COG0220.newick,25440,16,2
./TreeLifeData/COG0221.newick,4486938624,64,32
./TreeLifeData/COG0222.newick,4976640,128,128
./TreeLifeData/COG0223.newick,1052928,16,4
./TreeLifeData/COG0224.newick,114688,512,512
./TreeLifeData/COG0225.newick,24961351680,65536,16384
./TreeLifeData/COG0226.newick,336,8,2
./TreeLifeData/COG0227.newick,645096960,64,4
./TreeLifeData/COG0228.newick,54902784,256,64
./TreeLifeData/COG0229.newick,3188740587520,64,32
./TreeLifeData/COG0230.newick,615988800,64,4
./TreeLifeData/COG0231.newick,1096704,16,64
./TreeLifeData/COG0232.newick,153600,64,32
./TreeLifeData/COG0233.newick,9216,256,128
./TreeLifeData/COG0234.newick,502081536,64,8
./TreeLifeData/COG0235.newick,2063362272138362880,512,32
./TreeLifeData/COG0236.newick,4,4,2
./TreeLifeData/COG0237.newick,128876544,256,256
./TreeLifeData/COG0238.newick,1344000,32,16
./TreeLifeData/COG0239.newick,1182044160,4096,512
./TreeLifeData/COG0240.newick,4608036864,32,48
./TreeLifeData/COG0241.newick,9547776,256,64
./TreeLifeData/COG0242.newick,37748736,65536,4096
./TreeLifeData/COG0243.newick,50872320,64,16
./TreeLifeData/COG0244.newick,67108864,1024,1024
./TreeLifeData/COG0245.newick,589824,1024,256
./TreeLifeData/COG0246.newick,1855232,32,4
./TreeLifeData/COG0247.newick,1146114927325347840,2048,512
./TreeLifeData/COG0248.newick,5431173120,1024,96
./TreeLifeData/COG0249.newick,5376,128,64
./TreeLifeData/COG0250.newick,524288,512,128
./TreeLifeData/COG0251.newick,451697664,32,4
./TreeLifeData/COG0252.newick,842956800,2048,512
